name,species,coolStat,toughStat,beautyStat,cleverStat,cuteStat,move1,move2,move3,move4,canMega,type1,type2
Yuki,Froslass,255,255,255,255,255,Snowscape,Blizzard,Aurora Veil,Ice Shard,TRUE,Ice,Ghost
Selene,Cresselia,255,255,275,255,255,Moonlight,Moonblast,Lunar Dance,Lunar Blessing,FALSE,Psychic,
Dawn,Piplup,255,255,275,255,255,Bubble Beam,Whirlpool,Hydro Pump,Drill Peck,FALSE,Water,
Perfume,Weezing,255,255,275,255,255,Strange Steam,Misty Terrain,Misty Explosion,Clear Smog,FALSE,Poison,Fairy
Tsukuyomi,Ursaluna,255,255,275,255,255,Blood Moon,Moonlight,Earth Power,Calm Mind,FALSE,Ground,Normal
Crystal,Diancie,255,255,255,255,255,Diamond Storm,Moonblast,Dazzling Gleam,Power Gem,TRUE,Rock,Fairy
Stella,Terapagos,255,255,275,255,255,Tera Starstorm,Flash Cannon,Meteor Beam,Ice Beam,FALSE,Normal,
Kokoro,Oricorio,255,255,275,255,255,Revelation Dance,Feather Dance,Safeguard,Quiver Dance,FALSE,Ghost,Flying
Shoto,White Kyurem,255,255,275,255,255,Fusion Flare,Draco Meteor,Ice Burn,Glaciate,FALSE,Dragon,Ice
Flame,Typhlosion,255,255,275,255,255,Infernal Parade,Burning Jealousy,Will-O-Wisp,Lava Plume,FALSE,Fire,Ghost
Flora,Comfey,255,255,275,255,255,Grassy Terrain,Floral Healing,Round,Petal Blizzard,FALSE,Fairy,
Mermaid,Primarina,255,255,275,255,255,Sparkling Aria,Life Dew,Round,Hydro Cannon,FALSE,Water,Fairy
